Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
India,0.4340104427619744,0.4416733796223599,0.4529903809308052,0.5200660900355528,0.5960103003742586,0.6871090412325848,0.7673708256643682,0.9623992825383916,1.0468667634116853,1.0628142759305133,1.3148682275430332,1.4784357079549733,1.4434592796567176,1.4753083895698746,1.5413686846890435
Indonesia,0.8401712745880304,0.8021417509492719,0.9660587888099412,1.1342433739549365,1.2251846410778542,1.3406731337935895,1.6780342149390308,1.953694393652854,2.280208831937496,2.3581823567831064,3.032297523231916,3.5638264219111573,3.6101799225283284,3.5531964931790876,3.405577570074556
Ireland,23.422857365111152,25.13283059510015,28.97322056485968,36.598842517990654,41.975245463434774,44.51892839027768,47.69736937797028,54.454237566322796,54.83992498117846,46.71096746027896,44.02219981798845,48.70346648966832,44.728793289749184,47.09705209112811,48.87829462357282
Italy,18.015384800457863,18.42688342597777,20.13270195189156,24.83821172086012,28.213457199603443,28.850549340791048,29.97100998246077,33.923881268982626,36.84899082440924,33.572894640120644,32.303638451201145,34.50092703788937,31.277032156012826,31.892147269106545,31.671931697010354
Japan,36.56407072522725,31.82351035399413,30.491824355604376,32.8827429023317,35.644143510147856,35.454516611490696,33.71197128756238,33.67741267646346,37.45410572140275,38.495634759111894,42.253337768407896,45.671896967136824,46.005166764606784,37.82301687002237,34.86821630943776
"Korea, Rep.",10.73127466515884,10.070044646249874,11.413889837577035,12.715726161161928,14.365776739655075,16.8237064590815,18.84551320246855,20.821205337152275,18.783280883731653,16.679594814860028,20.002212760959686,21.87759452778561,22.14167588150164,23.61836098315866,25.363115227681977
Latvia,3.0038627716415696,3.224883478737105,3.7443413774743854,4.639751755938723,5.7528366679628125,6.770561934965159,8.629053314160009,12.540901587041885,14.817730829643779,11.01269005028786,10.046322781340132,12.167299241155307,12.368755367887056,13.376732606265366,13.920099002899015
Lithuania,2.929954011098601,3.1424344477673865,3.707168791224112,4.947496607822067,6.077192980897642,7.118012794466868,8.345512200641608,11.059899653079732,13.49680768737708,10.715998599395494,10.790126175224712,12.939291637357956,12.96555397503824,14.213357586494865,14.908973410585975
Luxembourg,43.41485269310108,43.018160173944565,47.30924667174683,58.28281867900716,67.07764996725605,70.92505531430045,79.9472579764726,94.32434342382132,102.00245566356287,91.3499011410663,93.31346833021007,102.09288337995562,94.59616078726809,102.012863221437,104.69760857060685
Malta,9.336583273090826,9.226569478156883,10.078379548955727,12.143020071252947,13.26994489246642,13.817868739321005,14.568968498186571,16.989691325727772,19.441354846353022,18.060815474689683,18.433828761670405,20.094134753885697,19.410061807489946,21.039997882479987,21.763919537002945
Mexico,6.037533305013674,6.367743970988988,6.614216291773868,6.412269801955596,6.8754287242519725,7.640794895615218,8.437596158789555,8.970196595293032,9.523611545513836,7.423457844289823,8.585408460049162,9.51171800961995,9.50686420260285,9.872385969605494,9.883563333590935
Netherlands,23.31352724025793,23.698808214790066,25.857169038444038,31.575408775184435,35.71917579650383,37.07958288270679,39.63465423556689,45.80558910247411,51.05688513455583,46.71912865939642,45.299896956977854,48.33079116064331,44.769271523178816,46.371190537257135,47.00004135781718
Norway,33.711816422732724,34.062136538355034,38.23997540853562,44.21045357459719,51.168546400081894,59.5969442107244,66.18600264339108,75.73857528428698,88.40011218046185,71.80059889453335,78.13719879327095,90.0205366145174,91.05341577381607,92.20127639469095,87.42690553080162
Poland,3.99357818092284,4.443976089780193,4.595466466964998,5.017661923691327,5.899044880051499,7.011245797244839,7.890571166088597,9.850712500026232,12.301609300378535,10.238790920957443,11.065998019598458,12.16935827077299,11.564547622950904,12.286422240156467,12.752786744305839
Portugal,10.103887258379576,10.29711858469591,11.325203956378493,13.824638812026596,15.812358520621224,16.298423728474685,17.132962539523238,19.78264394439513,21.73381452106329,20.523665971187285,19.851537675799907,20.336763579842312,18.005912462766908,19.020977594598985,19.37301103925946
Romania,1.508531545067342,1.6573263672415963,1.9139162798831133,2.47108269086456,3.1821175144219005,4.138073483244832,5.152200128717133,7.27623809437159,9.083974650742919,7.428621798758709,7.415189389767407,8.081258213786008,7.502375996047468,8.443179167611188,8.85779445757643
Russian Federation,1.5866848164786405,1.8751083574788416,2.1452798785735347,2.6187286850184024,3.5800492159727018,4.5626156066826775,5.910505340353093,7.802093384766607,10.006723743864383,7.573450544712782,9.075546409174132,11.217190780945863,12.0340904450283,12.46535994677887,11.29119651713844
Slovak Republic,3.420829003919298,3.6001802962332237,4.185738799793933,5.680334713596867,7.1936950158964175,8.08577819613945,9.590370203143463,12.924006714893332,16.36729789207749,15.044514333294346,15.099258832999778,16.468040115738425,15.758638875430414,16.531828898342813,16.81334046303046
Slovenia,8.893999768718697,9.17091137817134,10.377017407609817,13.05363310167207,15.160708063555017,15.976369258224318,17.355101755469967,20.92207422749886,24.179351933390063,21.635555192751767,20.43823198020092,21.770122172210197,19.502005429815863,19.96833922668026,20.7660180166636
